,window,window,window,window,window,whole,whole,whole,whole,whole
,mae,mse,rmse,mape,mspe,mae,mse,rmse,mape,mspe
64,0.184113,0.0582219,0.24120145,inf,inf,0.14203465,0.03716498,0.19275378,inf,inf
48,0.14196661,0.034322433,0.1851911,inf,inf,0.1069258,0.020450357,0.14296687,inf,inf
32,0.10987407,0.022956735,0.15135309,inf,inf,0.08261113,0.011852162,0.10886481,inf,inf
24,0.09726785,0.01826612,0.13508579,inf,inf,0.07611339,0.009991078,0.09994832,inf,inf
16,0.08688383,0.014514419,0.12041316,inf,inf,0.070406586,0.008581836,0.0926341,inf,inf
8,0.07888973,0.011955125,0.10930343,inf,inf,0.06605768,0.0075397,0.08682297,inf,inf
4,0.07637635,0.011350876,0.10643661,0.15646434,0.07266615,0.06416891,0.007140301,0.08449391,0.0823206,0.015284474
2,0.074910894,0.010568742,0.10268233,0.14133939,0.049648326,0.063519344,0.0069995224,0.083648115,0.08009775,0.013852676
